CODE,ORIGINAL ARTIST,SONG TITLE
15112,HI.JO,BEDA BAHAGIA
11145,,SAHABATKU
17926,GOLDFACE,PUTUS
4729,WILLY ANGGAWINATA & BRIGITTA TIFANNY,CERITA KITA
16605,,SATU-SATUNYA
5711,BIMBO,KITA ADALAH SATU
13322,ABIEM PANGESTU FEAT ESA RISTY,NANDUR LORO
8973,,STARTING OVER
13119,ARI AMNAN,LOST IN THE BLACK HOLE
15645,"ARNANDO PUTRA, CHIEMI YOSHIDA, JUNNA ADACHI",I THOUGHT IT WAS CLEAR
3333,VOPSTFM,CERITAKU
2605,SAYKOJI & SHERYL,LINE TODAY NEWS
7250,,"DEBBIE & RATIH: KARIER, CINTA & TIMBANGAN"
17580,GERAP GURITA,BERDIRI
8581,,UNREACHABLE
11562,,AKU PUNYA BURUNG
17026,COKI & THE BLUR AMBIENCE,BARA CINTA
17871,,HANYA INGIN PULANG
10847,PATRIA NK,BELANDA MASIH JAUH
728,SARAH AZHARI,SEMESTINYA
4192,SKINNYFABS,CIRCUS
14187,,I AM YOURS
4956,,MATA-MATA HARIMU
10279,,INI KENALAN LO KAN
11447,,PILIHAN HATIMU
6680,,CHANTEPLEREU
11303,,KEMAMALIRAN
6514,KOES PLUS,LUKA
6388,,SATU MALAM
10321,"FRANDY, BESTA BLOOM",INDONESIAKU
9287,LA HILA,SENDIRI DULU
17222,ANGEST,UANG KULIAH TINGGI
3423,,HIGH
1725,,KATAKAN
9896,GALYAS,AKULAH YANG MENCINTAIMU
17710,,KEMBANG ILALANG
3459,CINTA HARICI,AMPUNI AKU
15281,NOIN BULLET,HEART BEAT SLOW
8893,,JANGAN SAMPAI LELAH
14929,JESUS INSIDE MUSIC,KUPERCAYA SALIBMU
14563,,PYGC
5611,,NAPAK TILAS
8347,BAGUS ANANDA,UNTUK INDONESIA
2912,,H U & D
9352,,AKU SUKA SAYUR
16951,FAYE RISAKOTTA,THE WAY TO GO
2378,KOES PLUS,DU DU DU
18535,THE SKIBERS,THE THIRD COMING
1398,UNGU,DOA
18136,BAIM,BERSAMAMU
18174,HINDIA,PERKARA TUBUH
682,KRISDAYANTI,JANGAN USAI
5876,,ADAKAH SENYUMMU UNTUKKU
6433,KOES PLUS,BERNYANYI SAMBIL MENARI
12493,,LET ME (FEAT. RIFKA RACHMAN)
17320,,ESSENTIAL LOVE
11120,,SOMETHING SOMETHING INSANE
2256,KOES PLUS,HATIKU HATIMU
15117,,ABANG SAYANG
15288,KOJEK,TAHAN NAPSU
13312,DIAN AGUSTIN,RAMADHAN SYAHRU SYIAM
4739,OLLY OXEN,JAUHARI
10549,,GHOST TOWN
14072,AZIZ DHANU,HASRAT DIRI
9194,MIKA RAFELLO,KETIKA AKU DI KETIKA
10285,,KALAU TEROWONGAN INI
9330,,JAVA CHINESE
8869,TRI SUAKA,BISAKAH TANPAMU
8538,CALISTA AMADEA,BUTTERFLY
15427,"DODDIE, TONGKIE",PLEASE
4194,,CINTAI DENGAN ABADI
7945,PAKDHE BAZ,SESISIH MOTO
1663,NAFF,TERENDAP LARAKU
4758,FYN,QUANTUM CINTA
3922,,MATA KETIGA CINTA
3448,KENNY FEAT SARA FAJIRA,YOU KNOW
10144,"DELON, IRENE REJOICE",INDAH PADA WAKTUNYA (FEAT. IRENE REJOICE)
14265,,PERJUANGAN TERAKHIR
3905,ANDRE HARIHANDOYO,THE BOY IN LOVE
11650,DIPAREYNARDI,RELAX
5901,DJAKA BIMBO,MASS MEDIA
4360,TEDDY ADHITYA,ALL OF EM
8270,,JULA JULI SURABOYO
1500,FLANELLA,ANJELIE
6876,DIDI KEMPOT,YUNI YUNI
14137,THE BRANDALS,100 KM/JAM
17112,DELISHA OKTA,APA BISA
2232,,LARUT SENJA
8871,ANGGA CANDRA,TUNGGU SEJENAK
12795,ALEX KUPLE,SILENCE
18351,DESTROY YOU (AGAIN),NAYKILLA
15393,,THANK YOU
16541,,HANYA YESUS TUHAN
17042,,PUJILAH YAHWEH
1470,,SEJAUH APAPUN
2668,,INSOMNIA
10340,RIDA RSD,HARMONI ALAM
8425,IFY ALYSSA,WHAT ABOUT US?
13926,,TERAS & ANGIN MALAM
10656,NATHANIA WIBOWO,TANPA BANYAK BICARA
8218,KOES PLUS,PAK TANI
9647,,AWAL
10665,"SEXY GOATH, BONIE MC",SA AE LAU
9995,MKARTIKAWATI,HAPPY BIRTHDAY
17418,"ARIBOWOID, NITA REVIANA",LUNGO NINGGAL CERITO
47,SAMSONS,SELAMAT TINGGAL
17388,DANIEL RUMBEKWAN,DOA
783,,SUARA
6515,KOES PLUS,MAAFKAN AKU
15514,POP UP,BORING
2490,KOES PLUS,JUMPA 123
1859,THE RAIN,DENGAR BISIKKU
1671,NAFF,NELANGSA
12347,,TAKKAN BERPALING
10431,NO KOES,SANG SURYA
13673,,TATU JERU
5968,PANDEGLANG VARIOUS ARTIST,WAYAHNA LUR
17723,NATASHA,MATAHARI
18006,,BUKAN SURGA HARAPANKU
18199,BUNGEN,MELANKOLI KOTA
5826,,KUCARI TEMAN
5443,,MAKNA CINTA
9135,,BEFORE YOU
13663,JAKA ROHMANA,TERKETUK CINTA
4157,EZZAR,KITA (SEKEDAR PESAN)
18395,FIGURA RENATA,TANGAN KECIL
6528,,MENTARI
3985,"NEAR FEAT NINO MINGGO, YENNY KABUPUNG",SALAHKAH BERBEDA
3991,GAMMA1,CINTA PERTAMA
877,ANDIEN,METAMORFOSA
16920,,JANGAN TINGGALKAN
443,LA LUNA,CEMBURU
10133,NUMATA,TERLALU CINTA
17001,,BLESSING IN DISGUISE
16985,,SIO NONA
